urban_rural,region,age,gender,education,employment_status,occupation,country_direction,economic_condition,presidents_performance,trust_president,corruption_level,handle_economy,handle_corruption,news_radio,news_tv,news_newspapers,news_social_media,news_internet,voted_last_election,party_voted_for,education_grouped,occupation_grouped
Urban,Nairobi,28.0,Man,Secondary school / high school completed,Unemployed (Actively looking),Trader / hawker / vendor,Going in the wrong direction,Very bad,Strongly disapprove,Somewhat,Increased a lot,Fairly badly,Very badly,Every day,Every day,A few times a week,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Trader
Urban,Nairobi,27.0,Man,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Unemployed (Actively looking),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the right direction,Very bad,Strongly disapprove,Just a little,Increased a lot,Very badly,Very badly,Every day,A few times a week,A few times a week,Every day,Every day,I voted in the election,Undecided/No Response,Certificate/Diploma,Skilled/Unskilled Labor
Urban,Nairobi,42.0,Man,Secondary school / high school completed,Employed (Full-time),Trader / hawker / vendor,Going in the wrong direction,Fairly good,Approve,Just a little,Increased a lot,Fairly badly,Very badly,Never,Every day,Never,Every day,Every day,I voted in the election,Roots Party of Kenya (RPK),Secondary School,Trader
Urban,Nairobi,28.0,Woman,University completed,Employed (Full-time),"Upper-level professional (e.g., banker/finance, doctor, lawyer, engineer, accountant, professor, senior-level government",Going in the wrong direction,Very bad,Strongly disapprove,Not at all,Increased a lot,Fairly badly,Very badly,A few times a week,A few times a week,Less than once a month,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Bachelors Degree,Professional
Urban,Machakos,20.0,Woman,Secondary school / high school completed,Unemployed (Actively looking),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Very bad,Strongly disapprove,Just a little,Increased a lot,Fairly badly,Very badly,A few times a week,Never,A few times a week,A few times a week,A few times a week,I was too young to vote,Undecided/No Response,Secondary School,Skilled/Unskilled Labor
Urban,Nairobi,37.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Unemployed (Actively looking),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Very bad,Strongly disapprove,Not at all,Increased a lot,Very badly,Very badly,Every day,Every day,Less than once a month,Every day,Every day,I voted in the election,Would not vote,Certificate/Diploma,Skilled/Unskilled Labor
Urban,Nairobi,25.0,Woman,University completed,Employed (Part-time),"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",Going in the wrong direction,Very bad,Strongly disapprove,Not at all,Increased a lot,Fairly badly,Very badly,A few times a month,A few times a week,Never,Every day,Every day,I did not vote,Would not vote,Bachelors Degree,Professional
Urban,Nairobi,34.0,Man,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Full-time),Trader / hawker / vendor,Going in the right direction,Neither good nor bad,Strongly disapprove,Just a little,Increased a lot,Fairly badly,Very badly,Every day,A few times a week,A few times a week,A few times a week,A few times a week,I voted in the election,Undecided/No Response,Certificate/Diploma,Trader
Urban,Nairobi,27.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Full-time),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Fairly bad,Strongly disapprove,Not at all,Increased a lot,Very badly,Very badly,Never,Every day,Never,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Certificate/Diploma,Skilled/Unskilled Labor
Urban,Machakos,30.0,Man,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Unemployed (Actively looking),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Very bad,Strongly disapprove,Not at all,Increased a lot,Fairly well,Very badly,Every day,Every day,Every day,Every day,Every day,I voted in the election,United Democratic Alliance (UDA),Certificate/Diploma,Skilled/Unskilled Labor
Urban,Nairobi,23.0,Woman,Some primary schooling,Employed (Part-time),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the right direction,Fairly good,Strongly disapprove,Not at all,Increased a lot,Fairly well,Fairly badly,A few times a month,Every day,Never,Never,Never,I did not vote,Would not vote,Primary School,Skilled/Unskilled Labor
Urban,Nairobi,36.0,Woman,Secondary school / high school completed,Employed (Part-time),Trader / hawker / vendor,Going in the right direction,Fairly good,Strongly approve,Somewhat,Stayed the same,Very badly,Fairly well,A few times a week,Every day,Never,Every day,Every day,I voted in the election,Would not vote,Secondary School,Trader
Urban,Nairobi,24.0,Woman,Intermediate school or Some secondary school / high school,Unemployed (Not looking),Student,Going in the wrong direction,Fairly good,Strongly disapprove,Not at all,Decreased somewhat,Fairly badly,Fairly badly,A few times a week,Every day,Never,Never,Less than once a month,I did not vote,Orange Democratic Movement (ODM),Secondary School,Student
Urban,Nairobi,26.0,Woman,Secondary school / high school completed,Unemployed (Actively looking),Trader / hawker / vendor,Going in the wrong direction,Very bad,Disapprove,Just a little,Increased somewhat,Very badly,Very badly,Every day,Every day,A few times a month,Every day,Every day,I did not vote,Orange Democratic Movement (ODM),Secondary School,Trader
Urban,Nairobi,56.0,Woman,Intermediate school or Some secondary school / high school,Employed (Part-time),Trader / hawker / vendor,Going in the right direction,Fairly good,Approve,Not at all,Increased a lot,Fairly badly,Very badly,Every day,Every day,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Secondary School,Trader
Urban,Nairobi,29.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Unemployed (Not looking),"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",Going in the right direction,Fairly good,Strongly approve,Just a little,Stayed the same,Fairly well,Fairly well,Never,Every day,Never,Every day,Every day,I did not vote,Undecided/No Response,Certificate/Diploma,Professional
Urban,Nairobi,51.0,Man,Secondary school / high school completed,Employed (Part-time),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Very bad,Disapprove,Somewhat,Increased somewhat,Fairly well,Fairly badly,A few times a week,Every day,Never,Every day,Undecided/No Response,I voted in the election,Undecided/No Response,Secondary School,Skilled/Unskilled Labor
Urban,Nairobi,30.0,Man,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Full-time),Clerical or secretarial,Going in the wrong direction,Very bad,Strongly approve,Just a little,Decreased somewhat,Very well,Very badly,Less than once a month,Every day,Never,Every day,Every day,I did not vote,Undecided/No Response,Certificate/Diploma,Professional
Urban,Nairobi,32.0,Man,University completed,Unemployed (Actively looking),"Upper-level professional (e.g., banker/finance, doctor, lawyer, engineer, accountant, professor, senior-level government",Going in the right direction,Fairly good,Approve,Just a little,Increased a lot,Fairly well,Fairly badly,Less than once a month,Every day,Never,Every day,A few times a month,I voted in the election,Orange Democratic Movement (ODM),Bachelors Degree,Professional
Urban,Nairobi,62.0,Man,Intermediate school or Some secondary school / high school,Employed (Full-time),Trader / hawker / vendor,Undecided/No Response,Very bad,Undecided/No Response,Somewhat,Increased a lot,Very badly,Fairly badly,A few times a week,A few times a month,Less than once a month,Less than once a month,Less than once a month,I did not vote,Would not vote,Secondary School,Trader
Urban,Nairobi,22.0,Woman,Some university,Unemployed (Actively looking),"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",Going in the wrong direction,Fairly bad,Strongly disapprove,Just a little,Stayed the same,Very badly,Very badly,A few times a week,Every day,A few times a week,Every day,A few times a week,I did not vote,Orange Democratic Movement (ODM),Bachelors Degree,Professional
Urban,Machakos,34.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Part-time),"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",Going in the wrong direction,Very bad,Strongly disapprove,Not at all,Increased a lot,Very badly,Very badly,Every day,Every day,Never,Never,Never,I did not vote,Orange Democratic Movement (ODM),Certificate/Diploma,Professional
Urban,Nairobi,20.0,Man,Some university,Unemployed (Not looking),Student,Going in the right direction,Fairly bad,Disapprove,Just a little,Stayed the same,Fairly well,Very badly,Never,Less than once a month,Never,Every day,Every day,I did not vote,Orange Democratic Movement (ODM),Bachelors Degree,Student
Urban,Nairobi,50.0,Woman,Intermediate school or Some secondary school / high school,Unemployed (Not looking),Trader / hawker / vendor,Going in the right direction,Fairly good,Disapprove,Not at all,Increased a lot,Fairly badly,Very badly,Never,A few times a week,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Secondary School,Trader
Urban,Machakos,34.0,Man,Secondary school / high school completed,Employed (Full-time),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Fairly bad,Undecided/No Response,Just a little,Increased a lot,Fairly well,Very badly,Every day,Every day,Less than once a month,Every day,Every day,I voted in the election,United Democratic Alliance (UDA),Secondary School,Skilled/Unskilled Labor
Urban,Nairobi,21.0,Man,Secondary school / high school completed,Employed (Part-time),Retail / Shop,Going in the wrong direction,Fairly bad,Disapprove,Somewhat,Increased a lot,Very badly,Very badly,A few times a month,Every day,Every day,Every day,Every day,I did not vote,Orange Democratic Movement (ODM),Secondary School,Trader
Urban,Nairobi,32.0,Man,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Unemployed (Actively looking),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Very bad,Disapprove,Somewhat,Stayed the same,Very badly,Very badly,Less than once a month,Every day,Never,Every day,Every day,I did not vote,Would not vote,Certificate/Diploma,Skilled/Unskilled Labor
Urban,Nairobi,66.0,Woman,Secondary school / high school completed,Unemployed (Not looking),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the right direction,Fairly good,Strongly approve,A lot,Decreased a lot,Very well,Fairly well,Every day,Less than once a month,Never,Never,Never,I voted in the election,Undecided/No Response,Secondary School,Skilled/Unskilled Labor
Urban,Nairobi,48.0,Man,Post-graduate,Employed (Full-time),Supervisor / Foreman / Senior Manager,Going in the wrong direction,Very bad,Strongly disapprove,Not at all,Increased a lot,Very badly,Very badly,A few times a week,Every day,A few times a month,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Masters/PhD,Professional
Rural,Nyandarua,18.0,Man,Secondary school / high school completed,Unemployed (Not looking),Student,Going in the wrong direction,Neither good nor bad,Strongly approve,Somewhat,Increased a lot,Undecided/No Response,Fairly well,A few times a month,A few times a week,Never,A few times a week,A few times a week,I was too young to vote,United Democratic Alliance (UDA),Secondary School,Student
Rural,Nyandarua,34.0,Woman,Primary school completed,Unemployed (Not looking),Agriculture / farming / fishing / forestry,Going in the wrong direction,Very bad,Approve,Somewhat,Decreased a lot,Very well,Fairly well,Never,Every day,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Primary School,Agriculture
Rural,Nyandarua,24.0,Man,Intermediate school or Some secondary school / high school,Unemployed (Actively looking),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the right direction,Fairly bad,Approve,Just a little,Decreased somewhat,Fairly badly,Very badly,Less than once a month,Every day,Never,A few times a week,Never,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Skilled/Unskilled Labor
Urban,Nairobi,29.0,Woman,Secondary school / high school completed,Employed (Full-time),Trader / hawker / vendor,Going in the right direction,Fairly good,Approve,Just a little,Stayed the same,Fairly well,Fairly badly,Never,Every day,Never,Every day,Undecided/No Response,I voted in the election,United Democratic Alliance (UDA),Secondary School,Trader
Urban,Nairobi,50.0,Man,Intermediate school or Some secondary school / high school,Employed (Full-time),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Fairly bad,Disapprove,Not at all,Increased somewhat,Fairly badly,Very badly,Every day,Every day,Never,A few times a month,Less than once a month,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Skilled/Unskilled Labor
Urban,Nairobi,21.0,Woman,Intermediate school or Some secondary school / high school,Employed (Part-time),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Very bad,Disapprove,Not at all,Stayed the same,Very badly,Very badly,Every day,A few times a week,A few times a month,A few times a month,A few times a month,I did not vote,Orange Democratic Movement (ODM),Secondary School,Skilled/Unskilled Labor
Urban,Nairobi,53.0,Man,Intermediate school or Some secondary school / high school,Unemployed (Actively looking),Trader / hawker / vendor,Going in the wrong direction,Very bad,Disapprove,Somewhat,Decreased somewhat,Fairly badly,Fairly well,A few times a week,Less than once a month,Never,A few times a week,A few times a month,I voted in the election,Wiper Democratic Movement (WDM–K),Secondary School,Trader
Urban,Nairobi,22.0,Woman,Secondary school / high school completed,Employed (Full-time),Retail / Shop,Going in the right direction,Fairly good,Disapprove,Just a little,Increased a lot,Fairly badly,Very badly,Never,Every day,Never,Every day,Every day,I did not vote,Would not vote,Secondary School,Trader
Urban,Nairobi,38.0,Man,Some primary schooling,Employed (Part-time),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the right direction,Fairly bad,Strongly disapprove,Not at all,Increased a lot,Fairly badly,Fairly badly,Never,A few times a week,Never,Every day,Every day,I voted in the election,United Democratic Alliance (UDA),Primary School,Skilled/Unskilled Labor
Urban,Nairobi,27.0,Man,Secondary school / high school completed,Unemployed (Actively looking),Never had a job,Going in the right direction,Fairly good,Disapprove,Just a little,Stayed the same,Fairly well,Undecided/No Response,Less than once a month,Less than once a month,Less than once a month,Less than once a month,Less than once a month,I voted in the election,Undecided/No Response,Secondary School,Undecided/No Response
Urban,Nairobi,18.0,Woman,Intermediate school or Some secondary school / high school,Unemployed (Actively looking),Housewife / homemaker,Going in the wrong direction,Fairly bad,Approve,Just a little,Increased a lot,Fairly well,Fairly badly,Never,Never,Never,Every day,Every day,I voted in the election,Would not vote,Secondary School,Housewife
Urban,Nairobi,34.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Full-time),Retail / Shop,Going in the wrong direction,Very bad,Strongly disapprove,Somewhat,Increased a lot,Fairly badly,Fairly well,A few times a week,Every day,Never,Every day,A few times a month,I did not vote,Jubilee Alliance Party (JAP),Certificate/Diploma,Trader
Urban,Nairobi,70.0,Man,Intermediate school or Some secondary school / high school,Unemployed (Not looking),Clerical or secretarial,Going in the wrong direction,Very bad,Disapprove,Somewhat,Increased a lot,Fairly badly,Very badly,Every day,Every day,Less than once a month,Every day,A few times a month,I voted in the election,United Democratic Alliance (UDA),Secondary School,Professional
Urban,Nairobi,32.0,Man,Secondary school / high school completed,Employed (Part-time),Trader / hawker / vendor,Going in the wrong direction,Very bad,Disapprove,Somewhat,Increased somewhat,Very badly,Very badly,Every day,Every day,A few times a month,Every day,Never,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Trader
Urban,Nairobi,33.0,Woman,Secondary school / high school completed,Unemployed (Actively looking),Housewife / homemaker,Going in the wrong direction,Very bad,Strongly disapprove,Just a little,Increased somewhat,Very badly,Very badly,A few times a week,Every day,Less than once a month,Every day,A few times a month,I voted in the election,Undecided/No Response,Secondary School,Housewife
Urban,Nairobi,30.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Unemployed (Actively looking),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Very bad,Disapprove,Not at all,Increased a lot,Very badly,Very badly,Never,A few times a week,Never,A few times a week,Never,I voted in the election,Would not vote,Certificate/Diploma,Skilled/Unskilled Labor
Rural,Nyandarua,62.0,Woman,Some primary schooling,Unemployed (Not looking),Agriculture / farming / fishing / forestry,Going in the right direction,Fairly good,Approve,A lot,Undecided/No Response,Fairly badly,Undecided/No Response,Never,Every day,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Primary School,Agriculture
Urban,Nairobi,43.0,Man,Secondary school / high school completed,Employed (Full-time),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Neither good nor bad,Disapprove,Just a little,Stayed the same,Undecided/No Response,Fairly badly,A few times a week,A few times a week,A few times a week,Every day,A few times a week,I voted in the election,Undecided/No Response,Secondary School,Skilled/Unskilled Labor
Rural,Nyandarua,18.0,Man,Secondary school / high school completed,Unemployed (Actively looking),Student,Going in the right direction,Fairly bad,Approve,Just a little,Increased somewhat,Fairly well,Undecided/No Response,A few times a month,Every day,Never,A few times a week,A few times a week,I did not vote,United Democratic Alliance (UDA),Secondary School,Student
Urban,Nairobi,32.0,Man,Secondary school / high school completed,Employed (Full-time),Trader / hawker / vendor,Going in the right direction,Neither good nor bad,Approve,Just a little,Stayed the same,Fairly well,Undecided/No Response,Never,Every day,Never,Every day,Undecided/No Response,I did not vote,Undecided/No Response,Secondary School,Trader
Urban,Nairobi,23.0,Woman,Secondary school / high school completed,Unemployed (Actively looking),Trader / hawker / vendor,Going in the wrong direction,Very bad,Strongly disapprove,Not at all,Increased a lot,Very badly,Very badly,A few times a week,Never,Never,A few times a month,Less than once a month,I voted in the election,Would not vote,Secondary School,Trader
Urban,Nairobi,60.0,Man,Primary school completed,Employed (Part-time),Agriculture / farming / fishing / forestry,Going in the right direction,Fairly good,Approve,Somewhat,Decreased a lot,Fairly well,Fairly well,A few times a week,Less than once a month,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Primary School,Agriculture
Urban,Nairobi,44.0,Man,Secondary school / high school completed,Unemployed (Actively looking),Retail / Shop,Going in the wrong direction,Very bad,Approve,Somewhat,Increased somewhat,Fairly badly,Fairly badly,Every day,Every day,Every day,Less than once a month,Less than once a month,I voted in the election,United Democratic Alliance (UDA),Secondary School,Trader
Rural,Nyandarua,47.0,Woman,Primary school completed,Employed (Part-time),Housewife / homemaker,Going in the wrong direction,Very bad,Strongly disapprove,Somewhat,Increased a lot,Very badly,Very badly,Every day,Every day,Every day,Never,Never,I voted in the election,Would not vote,Primary School,Housewife
Rural,Nyandarua,35.0,Man,Secondary school / high school completed,Employed (Full-time),Retail / Shop,Going in the right direction,Fairly good,Approve,Somewhat,Increased somewhat,Fairly badly,Fairly badly,A few times a week,Every day,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Secondary School,Trader
Urban,Nairobi,19.0,Woman,Secondary school / high school completed,Unemployed (Not looking),Student,Going in the wrong direction,Very bad,Disapprove,Not at all,Increased a lot,Very badly,Very badly,Less than once a month,Less than once a month,Never,Every day,Every day,I was too young to vote,Undecided/No Response,Secondary School,Student
Urban,Nairobi,45.0,Woman,Primary school completed,Employed (Full-time),Trader / hawker / vendor,Going in the wrong direction,Very bad,Approve,A lot,Decreased a lot,Very badly,Fairly badly,Every day,Every day,Never,Never,Never,I voted in the election,United Democratic Alliance (UDA),Primary School,Trader
Urban,Nairobi,27.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Unemployed (Actively looking),Housewife / homemaker,Going in the wrong direction,Fairly bad,Strongly disapprove,Somewhat,Increased a lot,Very badly,Very badly,Every day,Every day,A few times a month,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Certificate/Diploma,Housewife
Urban,Nairobi,22.0,Man,Secondary school / high school completed,Employed (Part-time),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Fairly bad,Strongly disapprove,Not at all,Increased a lot,Very badly,Fairly badly,Never,Every day,Never,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Skilled/Unskilled Labor
Urban,Machakos,33.0,Woman,Intermediate school or Some secondary school / high school,Unemployed (Not looking),Housewife / homemaker,Going in the wrong direction,Very bad,Strongly approve,Somewhat,Decreased a lot,Fairly well,Fairly well,A few times a week,Every day,Never,Never,Never,I voted in the election,Would not vote,Secondary School,Housewife
Urban,Nairobi,42.0,Man,Secondary school / high school completed,Employed (Part-time),Supervisor / Foreman / Senior Manager,Going in the wrong direction,Very bad,Strongly approve,Not at all,Increased a lot,Very badly,Very badly,Every day,Every day,Every day,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Professional
